filename,width,height,class,xmin,ymin,xmax,ymax
22021-03-30_08_44_03_jpg.rf.e30dec856cafc314e44a83cda45fa0d4.jpg,640,640,बा,157,156,279,329
22021-03-30_08_44_03_jpg.rf.e30dec856cafc314e44a83cda45fa0d4.jpg,640,640,१,285,144,349,297
22021-03-30_08_44_03_jpg.rf.e30dec856cafc314e44a83cda45fa0d4.jpg,640,640,८,355,135,416,297
22021-03-30_08_44_03_jpg.rf.e30dec856cafc314e44a83cda45fa0d4.jpg,640,640,च,421,118,505,274
22021-03-30_08_44_03_jpg.rf.e30dec856cafc314e44a83cda45fa0d4.jpg,640,640,९,76,345,207,582
22021-03-30_08_44_03_jpg.rf.e30dec856cafc314e44a83cda45fa0d4.jpg,640,640,२,218,336,342,557
22021-03-30_08_44_03_jpg.rf.e30dec856cafc314e44a83cda45fa0d4.jpg,640,640,२,351,323,471,521
22021-03-30_08_44_03_jpg.rf.e30dec856cafc314e44a83cda45fa0d4.jpg,640,640,५,476,294,622,504
2021-03-27_15_07_47_jpg.rf.e83489b8047c791423c559a9daecc107.jpg,640,640,बा,153,134,261,311
2021-03-27_15_07_47_jpg.rf.e83489b8047c791423c559a9daecc107.jpg,640,640,च,405,121,493,295
2021-03-27_15_07_47_jpg.rf.e83489b8047c791423c559a9daecc107.jpg,640,640,२,271,134,335,298
2021-03-27_15_07_47_jpg.rf.e83489b8047c791423c559a9daecc107.jpg,640,640,०,337,131,395,297
2021-03-27_15_07_47_jpg.rf.e83489b8047c791423c559a9daecc107.jpg,640,640,८,70,313,195,562
2021-03-27_15_07_47_jpg.rf.e83489b8047c791423c559a9daecc107.jpg,640,640,३,201,315,327,563
2021-03-27_15_07_47_jpg.rf.e83489b8047c791423c559a9daecc107.jpg,640,640,३,336,303,460,542
2021-03-27_15_07_47_jpg.rf.e83489b8047c791423c559a9daecc107.jpg,640,640,५,465,296,586,546
IMG-20240528-WA0158_jpg.rf.e2c86c84b901a048e8a1fe0de5e51ada.jpg,640,640,बा,33,159,115,583
IMG-20240528-WA0158_jpg.rf.e2c86c84b901a048e8a1fe0de5e51ada.jpg,640,640,च,235,159,313,579
IMG-20240528-WA0158_jpg.rf.e2c86c84b901a048e8a1fe0de5e51ada.jpg,640,640,९,177,187,227,570
IMG-20240528-WA0158_jpg.rf.e2c86c84b901a048e8a1fe0de5e51ada.jpg,640,640,९,469,183,536,561
IMG-20240528-WA0158_jpg.rf.e2c86c84b901a048e8a1fe0de5e51ada.jpg,640,640,१,123,192,178,576
IMG-20240528-WA0158_jpg.rf.e2c86c84b901a048e8a1fe0de5e51ada.jpg,640,640,१,329,168,391,589
IMG-20240528-WA0158_jpg.rf.e2c86c84b901a048e8a1fe0de5e51ada.jpg,640,640,१,396,166,465,579
IMG-20240528-WA0158_jpg.rf.e2c86c84b901a048e8a1fe0de5e51ada.jpg,640,640,४,543,149,611,568
2021-03-26_11_52_57_jpg.rf.e6700699926411b122681353fb31b6ca.jpg,640,640,बा,31,229,128,551
2021-03-26_11_52_57_jpg.rf.e6700699926411b122681353fb31b6ca.jpg,640,640,jha,199,186,321,537
2021-03-26_11_52_57_jpg.rf.e6700699926411b122681353fb31b6ca.jpg,640,640,२,138,217,197,528
2021-03-26_11_52_57_jpg.rf.e6700699926411b122681353fb31b6ca.jpg,640,640,४,329,190,392,514
2021-03-26_11_52_57_jpg.rf.e6700699926411b122681353fb31b6ca.jpg,640,640,४,395,188,459,503
